"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PgR003_g115",35.0591379172595,-1.71613740240058,0.429156976475341,-3.99885705341479,6.36491055694802e-05,0.00600343167437418
"PgR003_g156",5022.9121729805,0.569091587509352,0.171313290247695,3.32193484046991,0.000893955674318445,0.029693584158923
"PgR003_g196",175.409725424637,-2.30360482384646,0.688253776641894,-3.34702823584367,0.000816828899021656,0.0283181482475531
"PgR003_g249",176.246286355056,0.808544698244364,0.253341107836614,3.19152586466865,0.0014152343920379,0.0391953281207614
"PgR004_g048",192.590593907051,-1.18720195218474,0.339876284456944,-3.49304145795774,0.000477552362247736,0.0212995235857831
"PgR004_g108",510.902726312675,-0.750608285044922,0.172162524291328,-4.35988196696494,1.30132617529442e-05,0.00216844318343227
"PgR006_g049",103.719165447098,-0.888346359224229,0.286041774642406,-3.10565252342876,0.00189859676874792,0.0459616718981638
"PgR006_g060",77.29600280986,-1.17099246429618,0.366065877857781,-3.19885718698729,0.00137973498458546,0.0387488493704647
"PgR006_g082",772.299311667589,0.743284140252642,0.240955674529117,3.08473391093691,0.00203734335466972,0.0470062636431413
"PgR006_g117",70.528785863051,-1.98766772081377,0.642095568447757,-3.09559482807035,0.00196418555183697,0.0463202216107889
"PgR006_g151",437.699555344719,-0.594933605441666,0.189524774546428,-3.13908092947461,0.00169478634446816,0.0432261087190398
"PgR006_g197",98.4445927604882,-0.576308498962142,0.143142325313386,-4.02612223673473,5.67042195837723e-05,0.00561315631087679
"PgR006_g218",2143.07315793404,0.537211672585593,0.145527445307976,3.69148012904856,0.00022295281770364,0.013524538011634
"PgR007_g075",59.068335398596,-8.17339636339086,1.68985344913107,-4.83674863497402,1.31980156130864e-06,0.00061994275122623
"PgR008_g140",1456.13741179963,-0.696349229703524,0.225096265588333,-3.09356189399002,0.00197769295471147,0.0463202216107889
"PgR008_g193",304.264912601062,-0.82626967043108,0.166790679431921,-4.95393191781043,7.27286622136556e-07,0.000484760776541419
"PgR009X_g005",187.511993244942,-0.510346246335354,0.156884251131092,-3.25301132940941,0.0011418894431024,0.0342994638149686
"PgR009X_g223",1575.58667190436,0.549843099873473,0.126937595782054,4.33160165422958,1.48028575875973e-05,0.00224603417634235
"PgR009X_g225",533.112889120285,-0.514988942618567,0.0881849581854538,-5.83987284470374,5.22406787104883e-09,2.61151152873731e-05
"PgR010_g057",243.42103143081,-0.651904347035446,0.136527569744186,-4.77489160802415,1.79804072439221e-06,0.000719072446498933
"PgR010_g174",327.615989662425,-0.702794243040943,0.207228318119654,-3.3914006030544,0.000695363804831794,0.026334270154198
"PgR011_g071",27032.0068115857,1.18076172328012,0.294282121120394,4.01234610782575,6.01182700107063e-05,0.00583555789870914
"PgR011_g083",59.8507122925035,-2.69297455629179,0.856413677990368,-3.14447868536037,0.00166383031458734,0.0430957914125498
"PgR012_g063",9680.37495691726,1.00216177693813,0.280715749781947,3.57002333398315,0.000356949430455735,0.018172598081268
"PgR012_g078",57.1608685284421,-2.99973576758268,0.681278822297493,-4.40309557468204,1.06717123942464e-05,0.00199399044584524
"PgR013_g034",1284.76800677487,0.70074927585311,0.202651122664963,3.45790966582326,0.00054438388502804,0.023255056659431
