Gene,Degree,Eigen,Closeness,Betweenness,Strengths
PgB04_g118,85,0.140790525,2.3762E-05,22374.01576,85
PgB04_g119,367,0.871685879,2.36591E-05,13388.78288,367
PgB04_g120,19,5.11236E-05,2.38977E-05,6567.164415,19
PgB02X_g004,4,6.13242E-08,2.05347E-05,88.7062477,4
PgB04_g122,35,5.57298E-06,2.47268E-05,11530.55365,35
PgB04_g128,24,0.009470712,2.44326E-05,14980.82094,24
PgB01_g202,5,2.01808E-06,2.03815E-05,2571.763827,5
PgB04_g133,323,0.764929226,2.32964E-05,12891.86503,323
PgB04_g138,18,0.022757071,2.05855E-05,206.9434132,18
PgB04_g140,134,0.302281315,2.3649E-05,19011.03041,134
PgB01_g166,29,0.000340419,2.4862E-05,25822.6324,29
PgB04_g141,25,6.54192E-06,2.43896E-05,16158.76886,25
PgB04_g143,14,0.000455163,2.40113E-05,9115.239592,14
PgB03_g013,16,0.010246419,1.98551E-05,127.090898,16
PgB04_g071,1,1.38975E-09,1.79511E-05,0,1
PgB04_g156,105,3.76142E-05,2.58612E-05,87926.52188,105
PgB01_g209,8,2.98473E-07,2.12112E-05,1029.783956,8
PgB02X_g025,11,9.65241E-07,2.21862E-05,691.5431218,11
PgB02X_g142,11,2.17233E-05,2.25098E-05,3464.65263,11
PgB02X_g153,20,1.08411E-06,2.23969E-05,4816.695866,20
PgB04_g158,4,1.24006E-07,1.98464E-05,406.222429,4
PgB04_g160,47,3.5584E-05,2.5264E-05,72846.80726,47
PgB04_g162,3,1.02425E-10,1.6913E-05,1395.069313,3
PgB04_g167,28,0.003692335,2.52213E-05,50081.70413,28
PgB04_g169,35,0.046094765,2.12784E-05,6263.766444,35
PgB04_g170,10,1.42775E-05,2.22906E-05,12726.38857,10
PgB04_g171,61,0.014971091,2.51073E-05,21719.57479,61
PgB04_g173,18,3.15204E-07,2.14284E-05,22680.76694,18
PgB01_g081,36,9.95742E-06,2.34538E-05,32488.99646,36
PgB04_g176,301,0.715970983,2.31755E-05,7075.109945,301
PgB04_g178,235,0.578097772,2.27972E-05,3823.88286,235
PgB04_g181,71,0.000299129,2.5208E-05,29370.55981,71
PgB04_g184,271,0.603220275,2.36849E-05,8099.314107,271
PgB01_g006,24,0.015417649,2.38646E-05,23027.26199,24
PgB03_g115,22,0.000475548,2.4785E-05,15204.18493,22
PgB04_g186,12,3.58234E-07,2.13329E-05,1203.916947,12
PgB04_g187,31,1.27555E-05,2.34863E-05,18713.42417,31
PgB04_g188,72,0.173415461,2.20104E-05,710.3684923,72
PgB01_g054,21,0.011962509,2.3784E-05,18119.36566,21
PgB04_g189,13,0.006197886,2.22375E-05,2327.523849,13
PgB04_g195,359,0.889679379,2.31401E-05,4974.8795,359
PgB04_g196,369,0.910814513,2.32218E-05,5847.057112,369
PgB05_g001,17,2.8108E-06,2.1182E-05,20394.34637,17
PgB05_g006,89,7.94648E-06,2.50658E-05,29343.33903,89
PgB05_g008,3,4.15819E-09,1.86445E-05,7834.953086,3
PgB05_g010,132,3.90163E-05,2.68861E-05,94087.10413,132
PgB05_g011,35,7.70025E-06,2.47568E-05,11766.59214,35
PgB05_g014,59,0.000425988,2.46968E-05,16476.31781,59
PgB05_g017,73,0.000453012,2.58772E-05,39553.00558,73
PgB05_g023,270,0.579131651,2.3423E-05,12606.31159,270
PgB05_g025,22,0.000155141,2.42107E-05,28398.0515,22
PgB05_g027,101,2.09143E-05,2.51515E-05,38972.06051,101
PgB05_g028,49,3.00621E-06,2.4133E-05,26750.33522,49
PgB05_g029,221,0.50632294,2.33073E-05,5846.222948,221
PgB05_g033,11,4.95078E-06,2.25459E-05,5925.501494,11
PgB05_g035,43,0.057456199,2.31949E-05,10554.05337,43
PgB05_g038,86,0.191676219,2.23974E-05,7888.527812,86
PgB05_g041,10,2.79675E-08,2.01142E-05,1758.775051,10
PgB05_g042,24,0.000182953,2.4766E-05,14702.57819,24
PgB05_g043,220,0.462172739,2.27832E-05,3052.395448,220
PgB05_g045,133,0.289211696,2.31803E-05,6756.433591,133
PgB05_g046,20,9.16283E-06,2.31337E-05,48063.0669,20
PgB04_g180,6,0.001374177,2.16666E-05,9283.191167,6
PgB05_g047,15,8.11222E-06,2.27025E-05,5550.335971,15
PgB05_g051,10,2.64843E-08,1.9978E-05,11305.37811,10
PgB05_g052,18,2.20588E-05,2.40477E-05,6905.356817,18
PgB05_g056,42,0.039875715,2.31863E-05,9900.627998,42
PgB05_g057,35,4.73419E-05,2.42777E-05,19574.35585,35
PgB05_g059,17,3.98514E-06,2.29027E-05,11930.79762,17
PgB05_g062,18,0.005062371,2.33568E-05,14118.87181,18
PgB05_g063,61,4.69866E-05,2.48108E-05,39064.36429,61
PgB05_g024,6,9.72006E-07,2.04127E-05,863.0460555,6
PgB05_g067,5,1.94227E-07,1.88147E-05,1829.007914,5
PgB04_g185,31,9.75102E-05,2.49925E-05,22719.99801,31
PgB05_g074,21,0.000397598,2.3335E-05,21116.08218,21
PgB05_g077,259,0.572092083,2.30931E-05,10725.27241,259
PgB05_g078,29,0.030111358,2.23889E-05,4561.347267,29
PgB05_g079,184,0.345410556,2.35616E-05,18795.81412,184
PgB05_g084,24,0.001205759,2.40859E-05,20923.83883,24
PgB05_g085,37,0.000509659,2.54408E-05,47806.74989,37
PgB05_g089,187,0.493691235,2.2199E-05,2335.506714,187
PgB01_g200,83,1.23473E-11,1.56917E-05,437366.2119,83
PgB05_g094,10,2.39493E-05,2.23614E-05,7761.958192,10
PgB05_g095,20,2.16596E-05,2.36312E-05,12503.28635,20
PgB05_g100,18,1.69857E-10,1.66044E-05,216930.0179,18
PgB05_g101,2,0.00032896,1.75898E-05,0,2
PgB05_g102,37,1.69005E-12,1.45157E-05,149402.6893,37
PgB05_g103,11,6.95783E-14,1.41713E-05,54163.57348,11
PgB02X_g196,15,1.04396E-05,2.31546E-05,17934.36494,15
PgB05_g110,18,2.61878E-06,2.34747E-05,19165.36,18
PgB02X_g098,23,1.48879E-05,2.38561E-05,9733.845413,23
PgB05_g111,37,3.44835E-05,2.45134E-05,12391.38645,37
PgB05_g112,87,0.170327324,2.30118E-05,18598.37299,87
PgB05_g113,8,6.87639E-12,1.39449E-05,15264.93701,8
PgB05_g116,46,8.25947E-05,2.58973E-05,53807.742,46
PgB05_g115,38,5.71219E-05,2.52653E-05,91697.87863,38
PgB05_g123,55,0.12648861,2.26644E-05,12132.56316,55
PgB05_g124,8,4.42227E-05,2.1363E-05,5609.768148,8
PgB05_g125,175,0.341781384,2.31997E-05,13965.73597,175
PgB05_g136,67,0.003030512,2.67387E-05,171242.2198,67
PgB05_g137,106,4.48774E-05,2.58218E-05,26613.74066,106
PgB05_g138,31,0.000368276,2.51655E-05,23287.28105,31
PgB05_g142,5,7.80062E-08,2.00807E-05,634.1564812,5
PgB04_g191,20,2.61593E-06,2.20361E-05,21362.38699,20
PgB05_g143,11,7.96448E-07,2.16854E-05,11383.069,11
PgB04_g121,47,3.57238E-06,2.46372E-05,52915.3815,47
PgB05_g146,8,5.87235E-08,2.06016E-05,12421.46031,8
PgB05_g149,130,2.71804E-05,2.50006E-05,21754.71102,130
PgB05_g153,312,0.689570657,2.36748E-05,13850.61549,312
PgB05_g154,338,0.702015195,2.37383E-05,20002.73978,338
PgB05_g157,32,3.97292E-06,2.28509E-05,11178.83631,32
PgB05_g162,73,3.45735E-05,2.58118E-05,52132.60842,73
PgB02X_g150,6,2.48902E-07,2.14689E-05,1409.471133,6
PgB05_g163,120,1.49282E-05,2.53936E-05,40111.66926,120
PgB06_g003,25,4.68432E-05,2.48892E-05,18202.74212,25
PgB03_g023,13,2.53485E-06,2.30033E-05,4026.257266,13
PgB06_g004,42,6.87304E-06,2.50426E-05,57077.40513,42
PgB06_g008,217,0.435539056,2.30213E-05,4207.425507,217
PgB06_g009,343,0.821775551,2.32634E-05,9560.387842,343
PgB06_g010,31,4.61964E-05,2.48244E-05,52793.006,31
PgB06_g012,41,9.76685E-07,2.33459E-05,15489.39689,41
PgB06_g019,28,6.98633E-05,2.45664E-05,66296.21063,28
PgB06_g020,15,6.90588E-06,2.31006E-05,8334.199137,15
PgB06_g023,46,3.19542E-05,2.40108E-05,12144.20629,46
PgB06_g024,51,2.00385E-05,2.57414E-05,69428.70985,51
PgB06_g029,14,1.66048E-05,2.29816E-05,19927.69154,14
PgB06_g031,64,4.12387E-05,2.50194E-05,16334.7557,64
PgB06_g034,30,1.69991E-05,2.4469E-05,35589.83333,30
PgB03_g033,15,1.22602E-05,2.34593E-05,24548.82576,15
PgB06_g042,6,8.07032E-08,2.04336E-05,1392.242868,6
PgB06_g045,33,1.05063E-09,1.68985E-05,53151.76951,33
PgB06_g046,17,8.49652E-07,2.24346E-05,2702.145158,17
PgB06_g047,37,0.000211014,2.54725E-05,58562.02523,37
PgB06_g050,3,3.20213E-08,1.82585E-05,56.89218411,3
PgB06_g051,115,0.138880547,2.35749E-05,45828.86705,115
PgB06_g057,83,0.000173435,2.65111E-05,59967.328,83
PgB06_g058,25,1.70017E-06,2.37439E-05,198693.5631,25
PgB04_g096,23,8.47073E-05,2.43896E-05,32017.89933,23
PgB06_g060,1,2.80007E-08,1.73497E-05,0,1
PgB01_g250,16,2.06908E-05,2.37643E-05,11406.05053,16
PgB06_g062,27,1.25324E-05,2.43386E-05,96066.08806,27
PgB06_g065,228,0.555904985,2.32461E-05,9833.707501,228
PgB03_g080,15,0.002695231,2.34979E-05,10879.19415,15
PgB06_g066,27,8.69322E-06,2.37276E-05,19658.54804,27
PgB04_g070,9,2.7329E-06,2.23984E-05,2588.117636,9
PgB01_g035,40,6.30088E-05,2.502E-05,16273.59802,40
PgB06_g071,11,6.26318E-08,2.00244E-05,55755.08722,11
PgB06_g072,14,2.57567E-05,2.33836E-05,6610.69268,14
PgB06_g073,47,1.15605E-05,2.52979E-05,45267.94588,47
PgB06_g075,19,1.32793E-06,2.30654E-05,8044.473209,19
PgB06_g076,43,5.12133E-06,2.39877E-05,35447.60612,43
PgB06_g077,37,3.74057E-05,2.49495E-05,37061.77807,37
PgB06_g078,61,1.79227E-05,2.51857E-05,32943.78703,61
PgB06_g080,25,1.67746E-05,2.46142E-05,25045.41463,25
PgB06_g081,6,3.92842E-05,2.17723E-05,1167.460622,6
PgB06_g089,7,2.30068E-07,2.14344E-05,1409.996343,7
PgB03_g027,2,1.31094E-11,1.46199E-05,2.254690759,2
PgB06_g095,239,0.590576178,2.30197E-05,5613.54448,239
PgB06_g096,2,7.82317E-08,1.89829E-05,100.5959676,2
PgB06_g098,8,3.56502E-05,2.23349E-05,5089.391566,8
PgB06_g099,5,4.35404E-09,1.76738E-05,1272.207647,5
PgB06_g100,31,0.003386204,2.52404E-05,88529.40624,31
PgB06_g102,59,1.32538E-05,2.48065E-05,14602.48146,59
PgB06_g103,49,3.46488E-05,2.58164E-05,64433.48502,49
PgB06_g105,10,0.003323518,2.25545E-05,3741.976445,10
PgB06_g106,19,6.03322E-06,2.35333E-05,4929.376058,19
PgB04_g179,11,1.17729E-06,2.19217E-05,6314.054455,11
PgB06_g112,29,7.04534E-06,2.41313E-05,23714.38177,29
PgB01_g163,14,1.1196E-05,2.28833E-05,7334.416309,14
PgB06_g114,11,2.96282E-05,2.26896E-05,18049.79592,11
PgB06_g117,14,0.000103588,2.24537E-05,35044.31131,14
PgB06_g118,7,9.78987E-08,2.10571E-05,2744.902572,7
PgB06_g119,39,1.9335E-05,2.47378E-05,6397.666124,39
PgB06_g120,28,4.50468E-07,2.27837E-05,28491.17227,28
PgB06_g121,17,2.39182E-06,2.29589E-05,15460.96167,17
PgB06_g123,46,0.000586693,2.43641E-05,14892.36366,46
PgB06_g125,41,7.31351E-06,2.44678E-05,7501.761565,41
PgB07_g001,12,9.89801E-07,2.18469E-05,9349.428514,12
PgB02X_g105,39,1.89076E-05,2.41973E-05,9984.650675,39
PgB07_g007,34,2.46921E-05,2.42654E-05,14465.34902,34
PgB07_g008,22,9.69877E-06,2.34951E-05,8953.405051,22
PgB07_g011,106,0.194624453,2.34681E-05,32161.15134,106
PgB07_g014,20,2.44755E-07,2.17368E-05,9493.485426,20
PgB07_g017,246,0.457569141,2.33525E-05,22260.44485,246
PgB07_g018,17,7.64651E-06,2.37643E-05,19564.9095,17
PgB07_g019,26,0.0006971,2.44918E-05,27767.38223,26
