Gene.stable.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PgR075_g004,72.02,1.81,0.78,2.32,0.02,0.10
PgR075_g005,1737.17,0.06,0.22,0.27,0.79,0.89
PgR075_g006,10872.96,-0.59,0.17,-3.44,0.00,0.01
PgR075_g007,16.47,6.97,1.94,3.59,0.00,0.00
PgR075_g008,469.08,0.58,0.17,3.37,0.00,0.01
PgR075_g009,710.05,1.08,0.48,2.23,0.03,0.11
PgR075_g010,1266.77,-0.40,0.20,-2.05,0.04,0.15
PgR075_g011,2730.80,-0.18,0.12,-1.47,0.14,0.34
PgR075_g012,260.00,0.66,0.40,1.65,0.10,0.27
PgR075_g013,6400.46,-0.60,0.29,-2.07,0.04,0.15
PgR075_g014,3.67,-1.90,1.14,-1.67,0.10,0.26
PgR075_g015,1644.74,-0.61,0.32,-1.87,0.06,0.20
PgR075_g016,8.47,4.91,1.24,3.96,0.00,0.00
PgR075_g017,20.28,-0.83,1.18,-0.70,0.48,0.69
PgR075_g018,439.22,0.46,0.22,2.06,0.04,0.15
PgR075_g019,16.59,5.20,0.94,5.54,0.00,0.00
PgR075_g021,196.77,0.45,0.21,2.13,0.03,0.13
PgR075_g022,132.57,0.66,0.26,2.49,0.01,0.07
PgR075_g023,165.64,0.57,0.28,2.06,0.04,0.15
PgR075_g024,425.66,0.02,0.33,0.05,0.96,0.98
PgR075_g025,472.72,0.24,0.33,0.74,0.46,0.67
PgR075_g026,24.99,2.29,0.87,2.64,0.01,0.05
PgR075_g027,11.27,6.38,1.59,4.01,0.00,0.00
PgR075_g029,276.27,0.80,0.24,3.30,0.00,0.01
PgR075_g030,30.18,0.80,0.51,1.56,0.12,0.30
PgR075_g031,157.70,1.37,0.49,2.82,0.00,0.04
PgR075_g032,1711.04,-0.35,0.23,-1.52,0.13,0.32
PgR075_g033,19788.51,-0.55,0.27,-2.08,0.04,0.14
PgR075_g036,139.06,1.33,0.34,3.86,0.00,0.00
PgR075_g037,68.12,0.77,0.32,2.40,0.02,0.08
PgR075_g038,691.91,0.37,0.29,1.26,0.21,0.42
PgR075_g039,69.37,0.81,1.26,0.64,0.52,0.72
PgR075_g040,17.71,-0.17,1.55,-0.11,0.91,0.96
PgR075_g041,390.14,1.40,1.09,1.29,0.20,0.41
PgR075_g042,669.91,3.03,0.67,4.55,0.00,0.00
PgR101_g020,16.50,7.02,1.32,5.33,#N/A,#N/A
PgR075_g045,654.48,2.67,0.77,3.45,0.00,0.01
PgR075_g046,315.65,-0.33,0.24,-1.41,0.16,0.36
PgR075_g047,9020.14,-0.73,0.29,-2.49,0.01,0.07
PgR075_g048,2983.70,-0.31,0.26,-1.17,0.24,0.46
PgR075_g049,12026.71,-0.78,0.21,-3.63,0.00,0.00
PgR075_g050,737.84,0.37,0.35,1.05,0.29,0.52
PgR075_g051,294.42,0.26,0.30,0.89,0.38,0.60
PgR075_g052,403.46,0.63,0.32,1.97,0.05,0.17
PgR075_g054,410.09,-0.10,0.31,-0.31,0.76,0.87
PgR075_g055,7050.77,0.24,0.34,0.71,0.47,0.68
PgR075_g056,2775.45,0.20,0.32,0.62,0.53,0.73
PgR075_g057,2063.37,-0.31,0.39,-0.78,0.43,0.65
PgR075_g058,7.89,0.79,0.79,1.00,0.32,0.54
PgR075_g060,3116.08,-0.05,0.20,-0.27,0.79,0.89
PgR075_g061,6036.57,-0.22,0.47,-0.47,0.64,0.80
PgR075_g062,1563.47,-0.10,0.26,-0.41,0.69,0.83
PgR075_g063,2266.53,-0.19,0.14,-1.30,0.19,0.40
PgR075_g065,263.40,-0.09,0.35,-0.25,0.80,0.90
PgR075_g066,471.56,-0.02,0.60,-0.04,0.97,0.99
PgR075_g067,1374.61,-0.09,0.33,-0.28,0.78,0.89
PgR075_g069,4177.02,-0.40,0.19,-2.10,0.04,0.14
PgR076_g001,306.60,0.35,0.25,1.40,0.16,0.36
PgR076_g002,13.81,7.61,1.63,4.66,0.00,0.00
PgR076_g003,2670.64,-0.23,0.23,-1.04,0.30,0.52
PgR076_g004,271.29,0.48,0.29,1.66,0.10,0.27
PgR076_g005,641.11,0.12,0.20,0.59,0.55,0.74
PgR076_g006,2101.03,-1.29,0.49,-2.65,0.01,0.05
PgR076_g007,334.35,-0.69,0.40,-1.74,0.08,0.24
PgR076_g008,594.44,0.12,0.15,0.84,0.40,0.62
PgR076_g009,193.67,7.20,1.01,7.10,0.00,0.00
PgR076_g010,617.49,0.61,0.67,0.91,0.36,0.59
PgR076_g011,2451.98,-1.03,0.45,-2.28,0.02,0.10
PgR076_g012,755.88,0.41,0.37,1.11,0.27,0.49
PgR076_g013,6948.29,-0.29,0.38,-0.76,0.45,0.66
PgR076_g014,637.14,3.27,0.76,4.27,0.00,0.00
PgR076_g017,940.28,-0.21,0.42,-0.50,0.62,0.78
PgR076_g018,25036.43,-0.62,0.22,-2.84,0.00,0.03
PgR076_g019,4814.37,-0.14,0.44,-0.33,0.74,0.87
PgR076_g020,89.07,2.87,0.83,3.43,0.00,0.01
PgR076_g021,504.95,0.07,0.22,0.32,0.75,0.87
PgR076_g022,1300.38,0.88,0.37,2.38,0.02,0.08
PgR076_g023,1653.70,-0.97,0.37,-2.67,0.01,0.05
PgR076_g024,6052.44,0.24,0.37,0.66,0.51,0.71
PgR076_g025,1076.35,0.23,0.31,0.74,0.46,0.67
PgR076_g027,2704.61,-0.29,0.34,-0.85,0.39,0.61
PgR076_g028,3824.84,0.09,0.34,0.27,0.79,0.89
PgR077_g001,263.67,0.23,0.55,0.42,0.68,0.83
PgR077_g002,1020.10,-0.24,0.17,-1.40,0.16,0.36
PgR077_g003,1941.62,-0.20,0.19,-1.06,0.29,0.51
PgR077_g004,490.05,0.05,0.19,0.27,0.79,0.89
PgR077_g005,2471.61,-0.05,0.15,-0.31,0.76,0.88
PgR077_g007,855.27,0.06,0.24,0.27,0.79,0.89
PgR077_g008,127.60,0.56,0.38,1.47,0.14,0.34
PgR077_g009,1637.68,-0.15,0.20,-0.76,0.45,0.66
PgR077_g010,768.50,0.16,0.24,0.65,0.52,0.71
PgR077_g011,5627.56,-0.12,0.22,-0.57,0.57,0.75
PgR077_g012,382.35,0.10,0.53,0.20,0.84,0.92
PgR077_g013,4.61,-0.17,1.18,-0.14,0.88,0.94
PgR077_g015,2188.69,0.03,0.15,0.19,0.85,0.93
PgR077_g016,697.76,0.71,0.19,3.68,0.00,0.00
PgR077_g017,1453.05,-0.66,1.26,-0.52,0.60,0.77
PgR077_g018,50.68,0.00,0.53,-0.01,0.99,1.00
PgR077_g019,182909.99,-0.29,0.42,-0.70,0.48,0.69
PgR077_g020,1562.44,0.32,0.43,0.74,0.46,0.67
PgE078_g001,16.13,10.19,2.23,4.57,#N/A,#N/A
PgR077_g022,6162.92,-0.52,0.29,-1.81,0.07,0.22
PgR077_g023,283.72,0.07,0.67,0.10,0.92,0.96
PgR077_g027,56.76,6.61,1.51,4.39,0.00,0.00
PgR077_g028,107.06,1.23,0.72,1.70,0.09,0.25
PgR077_g029,237.50,-0.34,0.45,-0.76,0.45,0.66
PgR077_g030,1216.98,-0.16,0.38,-0.42,0.67,0.82
PgR077_g031,136.15,0.26,0.53,0.48,0.63,0.79
PgR077_g032,12756.17,-0.24,0.18,-1.33,0.18,0.39
PgR077_g033,6.63,1.70,1.03,1.65,0.10,0.27
PgR077_g034,219.83,2.70,0.89,3.05,0.00,0.02
PgR077_g035,103.65,-0.22,0.35,-0.62,0.54,0.73
PgR077_g036,1627.38,3.81,0.79,4.80,0.00,0.00
PgR157_g002,16.07,23.83,2.81,8.48,#N/A,#N/A
PgR077_g039,300.19,0.28,0.37,0.78,0.44,0.65
PgR078_g001,1.57,4.96,6.37,0.78,0.44,0.65
PgR078_g002,159.64,-0.34,0.36,-0.95,0.34,0.56
PgR078_g003,395.18,-0.85,0.35,-2.44,0.01,0.08
PgR078_g004,1082.35,0.33,0.15,2.15,0.03,0.13
PgR078_g005,493.84,2.02,0.93,2.18,0.03,0.12
PgR078_g006,878.74,-0.34,0.29,-1.15,0.25,0.47
PgR078_g007,99.46,0.10,0.49,0.21,0.84,0.92
PgR078_g008,1390.84,0.69,0.38,1.82,0.07,0.21
PgR078_g009,505.78,1.35,0.65,2.08,0.04,0.14
PgR078_g010,2127.02,-0.30,0.31,-0.96,0.34,0.56
PgR078_g011,252.76,-0.86,0.40,-2.12,0.03,0.14
PgR078_g012,171.79,-3.69,1.10,-3.37,0.00,0.01
PgE176_g001,15.18,7.50,2.92,2.57,#N/A,#N/A
PgR078_g015,1422.23,-0.21,0.26,-0.82,0.41,0.63
PgR078_g016,68.58,0.10,1.50,0.07,0.94,0.97
PgR078_g017,727.17,0.23,0.28,0.82,0.41,0.63
PgR078_g018,214.65,0.15,0.24,0.62,0.54,0.73
PgR078_g019,391.50,0.27,0.27,1.01,0.31,0.54
PgR078_g020,38.34,-0.15,0.40,-0.37,0.71,0.85
PgR078_g021,229.95,0.04,0.31,0.12,0.91,0.95
PgR078_g022,12.83,0.01,0.67,0.01,0.99,1.00
PgR078_g023,1306.04,0.30,0.25,1.19,0.24,0.45
PgR078_g024,2855.84,-0.26,0.18,-1.47,0.14,0.34
PgR078_g025,184.37,0.39,0.40,0.96,0.33,0.56
PgR078_g026,1195.99,0.05,0.24,0.22,0.83,0.91
PgR078_g027,103.82,1.34,0.92,1.47,0.14,0.34
PgR078_g028,487.47,0.39,0.29,1.36,0.17,0.38
PgR078_g029,41.76,0.73,0.54,1.34,0.18,0.39
PgR078_g030,7532.34,-0.94,0.33,-2.85,0.00,0.03
PgR078_g031,2555.71,0.30,0.18,1.67,0.10,0.26
PgR078_g032,3963.57,-0.69,0.31,-2.22,0.03,0.11
PgR078_g033,11332.75,-0.60,0.32,-1.90,0.06,0.19
PgR078_g035,1457.09,0.17,0.19,0.91,0.36,0.58
PgR078_g036,4423.75,-0.10,0.23,-0.42,0.67,0.82
PgR078_g037,227522.90,-0.21,0.25,-0.84,0.40,0.62
PgR078_g038,4377.57,0.36,0.22,1.62,0.11,0.28
PgR078_g039,24.43,-0.88,1.77,-0.50,0.62,0.78
PgR078_g040,2244.93,-0.05,0.18,-0.31,0.76,0.88
PgR078_g041,4.96,0.03,1.16,0.03,0.98,0.99
PgR079_g001,1972.82,-0.61,0.40,-1.51,0.13,0.32
PgR079_g002,1670.57,-0.16,0.25,-0.63,0.53,0.72
PgR079_g003,2034.23,0.68,0.52,1.30,0.19,0.40
PgR079_g004,1782.37,0.07,0.26,0.26,0.79,0.90
PgR079_g005,260.79,-0.13,0.31,-0.40,0.69,0.83
PgR079_g006,93.11,-0.03,0.36,-0.08,0.93,0.97
PgR079_g007,910.01,-0.55,0.26,-2.10,0.04,0.14
PgR079_g008,28.96,0.16,0.70,0.23,0.81,0.91
PgR079_g009,172.76,-0.22,0.28,-0.78,0.43,0.65
PgR079_g010,886.18,-0.14,0.20,-0.72,0.47,0.68
PgR079_g011,21.57,-0.06,0.45,-0.13,0.90,0.95
PgR079_g012,146.06,0.54,0.34,1.58,0.11,0.29
PgR079_g013,382.09,0.19,0.23,0.85,0.40,0.61
PgR079_g014,12.19,5.23,1.23,4.25,0.00,0.00
PgR079_g015,1483.32,0.37,0.51,0.74,0.46,0.67
PgR079_g016,1111.59,1.28,0.38,3.39,0.00,0.01
PgR079_g019,31.70,2.65,1.00,2.65,0.01,0.05
PgR079_g020,89.91,1.55,0.59,2.61,0.01,0.06
PgR079_g021,185.76,0.24,0.33,0.74,0.46,0.67
PgR079_g022,53.76,7.57,1.44,5.26,0.00,0.00
PgR079_g023,44.96,0.14,0.35,0.41,0.68,0.83
PgR079_g024,165.02,-0.12,0.30,-0.39,0.69,0.84
PgR079_g026,3072.22,0.27,0.29,0.94,0.35,0.57
PgR079_g027,219.95,0.72,0.26,2.77,0.01,0.04
PgR079_g028,132249.18,2.78,0.88,3.17,0.00,0.02
PgR079_g029,44618.16,-7.68,1.67,-4.59,0.00,0.00
PgR079_g030,3.11,-0.25,1.10,-0.23,0.82,0.91
PgR079_g031,15726.44,-0.48,0.18,-2.62,0.01,0.06
PgR079_g034,130.39,2.34,0.87,2.70,0.01,0.05
PgR079_g035,7.07,5.15,2.43,2.12,0.03,0.13
PgR079_g036,93.99,2.77,0.50,5.55,0.00,0.00
PgR079_g037,42.74,-0.53,0.59,-0.91,0.36,0.58
PgR079_g038,298.28,-0.64,0.40,-1.60,0.11,0.29
PgR079_g039,4055.11,-0.06,0.21,-0.26,0.79,0.89
PgR079_g040,40.51,0.13,0.96,0.13,0.89,0.95
PgR080_g001,48.96,-0.19,0.43,-0.44,0.66,0.81
PgR080_g002,3.50,2.06,1.05,1.96,0.05,0.17
PgR080_g003,1510.85,0.10,0.45,0.23,0.81,0.91
PgR080_g004,1570.68,0.04,0.22,0.20,0.84,0.92
PgR080_g005,116.71,0.77,0.43,1.78,0.07,0.22
PgR080_g006,5380.73,1.13,0.54,2.07,0.04,0.15
PgR080_g007,617.00,-1.85,0.68,-2.73,0.01,0.04
PgR080_g008,2.35,0.31,1.56,0.20,0.84,0.92
PgR080_g009,4047.73,-0.13,0.16,-0.83,0.41,0.62
PgR080_g010,19837.84,-0.77,0.30,-2.59,0.01,0.06
PgR080_g011,210.93,0.77,0.31,2.51,0.01,0.07
PgR080_g012,462.48,0.60,0.55,1.08,0.28,0.50
PgR080_g013,989.27,0.47,0.20,2.32,0.02,0.10
PgR080_g014,22.25,1.52,1.01,1.50,0.13,0.33
PgR080_g015,615.64,-0.31,0.54,-0.57,0.57,0.75
PgR080_g016,1111.84,-0.51,0.69,-0.74,0.46,0.67
PgR080_g018,29441.40,1.70,0.55,3.07,0.00,0.02
PgR080_g019,131.64,0.70,1.02,0.69,0.49,0.69
PgR080_g020,408.58,0.29,0.59,0.49,0.63,0.79
PgR080_g021,228.95,0.07,0.34,0.22,0.83,0.92
PgR080_g022,27.41,-4.60,1.44,-3.19,0.00,0.01
PgR080_g023,1194.20,0.52,0.28,1.87,0.06,0.20
PgR080_g024,2.84,0.64,2.36,0.27,0.79,0.89
PgR080_g025,214.20,0.56,0.51,1.09,0.28,0.50
PgR080_g027,92.28,1.68,1.25,1.35,0.18,0.39
PgR080_g029,302.56,7.69,1.67,4.62,0.00,0.00
PgR080_g030,1986.00,0.82,0.42,1.98,0.05,0.17
PgR080_g031,22510.02,1.51,0.80,1.88,0.06,0.20
PgR080_g032,39.13,9.40,1.47,6.38,0.00,0.00
PgR080_g034,114.77,0.50,0.43,1.16,0.25,0.47
PgR080_g035,574.98,0.39,0.29,1.35,0.18,0.38
PgR080_g036,849.15,0.24,0.24,0.98,0.33,0.55
PgR080_g037,233.11,1.14,0.96,1.20,0.23,0.45
PgR080_g039,10.97,6.66,1.17,5.69,0.00,0.00
PgR080_g040,36.23,7.21,1.59,4.52,0.00,0.00
PgR080_g041,855.91,-0.15,0.17,-0.88,0.38,0.60
PgR080_g042,2430.08,-0.51,0.18,-2.83,0.00,0.04
PgR080_g043,1334.64,0.26,0.16,1.61,0.11,0.28
PgR080_g044,444.31,0.21,0.19,1.13,0.26,0.48
PgR080_g045,201.55,0.94,1.07,0.88,0.38,0.60
PgR080_g046,938.94,-0.50,0.42,-1.18,0.24,0.46
PgR080_g047,966.83,-0.67,0.40,-1.69,0.09,0.26
PgR080_g048,7113.63,-0.03,0.24,-0.14,0.89,0.95
PgR080_g050,7718.30,-0.67,0.25,-2.70,0.01,0.05
PgR080_g051,1307.14,-0.28,0.16,-1.71,0.09,0.25
PgR080_g052,3169.69,-0.13,0.16,-0.84,0.40,0.62
PgR080_g053,497.44,0.08,0.11,0.73,0.46,0.67
PgR080_g054,4726.14,0.02,0.16,0.14,0.89,0.94
PgR080_g055,41.98,2.20,1.33,1.66,0.10,0.27
PgR081_g001,187.59,4.18,0.75,5.58,0.00,0.00
PgR081_g002,120.89,5.24,0.80,6.54,0.00,0.00
PgR081_g003,5360.38,-0.16,0.19,-0.85,0.39,0.61
PgR081_g004,663.76,0.15,0.25,0.59,0.55,0.74
PgR081_g005,1365.70,-0.05,0.20,-0.23,0.82,0.91
PgR081_g006,110.50,-0.43,1.12,-0.39,0.70,0.84
PgR081_g010,148.54,0.53,0.96,0.56,0.58,0.76
PgR081_g011,476.91,0.57,0.30,1.88,0.06,0.19
PgR001X_g285,15.01,6.84,2.14,3.19,#N/A,#N/A
PgR081_g013,6562.12,0.56,0.75,0.75,0.45,0.66
PgR081_g014,81.98,2.16,1.24,1.74,0.08,0.24
PgR081_g016,18425.93,-0.38,0.28,-1.38,0.17,0.37
PgR081_g017,2983.33,-0.22,0.27,-0.81,0.42,0.63
PgR081_g018,37.38,1.02,1.01,1.01,0.31,0.54
PgR081_g019,3082.94,0.00,0.15,-0.03,0.97,0.99
PgR081_g020,329.07,0.07,0.25,0.27,0.79,0.89
PgR081_g021,532.83,-0.06,0.24,-0.27,0.79,0.89
PgR081_g022,771.21,0.47,0.25,1.91,0.06,0.19
PgR081_g023,3.96,3.80,1.74,2.19,0.03,0.12
PgR081_g025,22.56,4.33,1.17,3.72,0.00,0.00
PgB15_g051,14.96,6.06,2.49,2.43,#N/A,#N/A
PgR081_g028,373.41,0.24,0.51,0.46,0.64,0.80
PgR082_g001,421.35,0.21,0.25,0.81,0.42,0.63
PgR082_g002,802.00,-0.48,0.20,-2.43,0.02,0.08
PgR082_g003,0.67,2.38,2.62,0.91,0.36,0.59
PgR082_g005,1121.26,-0.20,0.26,-0.78,0.44,0.65
PgR082_g006,241.54,0.27,0.29,0.93,0.35,0.58
PgR082_g007,1840.16,-0.58,0.82,-0.71,0.47,0.68
PgR082_g008,337.53,-0.08,0.27,-0.30,0.77,0.88
PgR082_g009,2360.35,0.48,0.19,2.47,0.01,0.07
PgR082_g010,3.50,0.11,0.94,0.12,0.91,0.95
PgR082_g011,151.03,0.50,1.18,0.42,0.67,0.82
PgR082_g012,614.28,-0.14,0.30,-0.48,0.63,0.80
PgR082_g013,1090.27,-0.22,0.22,-1.02,0.31,0.53
PgR082_g014,633.84,0.65,0.21,3.16,0.00,0.02
PgR082_g015,188.15,-0.32,0.41,-0.79,0.43,0.64
PgR082_g016,4035.46,-0.32,0.16,-2.06,0.04,0.15
PgR082_g017,1457.25,0.19,0.21,0.93,0.35,0.58
PgR082_g019,530.97,0.01,0.29,0.04,0.97,0.98
PgR082_g020,92.94,0.60,0.44,1.36,0.17,0.38
PgR082_g021,417.04,0.08,0.29,0.29,0.77,0.88
PgR082_g022,249.77,0.86,0.29,3.00,0.00,0.02
PgR082_g023,2769.06,-0.45,0.24,-1.89,0.06,0.19
PgR082_g024,841.88,-0.97,0.37,-2.65,0.01,0.05
PgR082_g026,417.58,0.36,0.22,1.66,0.10,0.27
PgR082_g027,2.75,0.90,2.89,0.31,0.75,0.87
PgR082_g028,240.36,0.24,0.27,0.87,0.38,0.60
PgR082_g029,547.88,0.57,0.31,1.84,0.07,0.21
PgR082_g030,6330.76,-0.33,0.18,-1.86,0.06,0.20
PgR082_g032,34.30,6.25,1.37,4.55,0.00,0.00
PgR082_g033,268.15,0.98,0.76,1.28,0.20,0.41
PgR082_g035,1294.50,-0.28,0.18,-1.62,0.10,0.28
PgR082_g036,987.99,-0.36,0.28,-1.29,0.20,0.41
PgR082_g037,2997.34,0.18,0.24,0.73,0.47,0.67
PgR082_g038,1193.42,-0.17,0.48,-0.35,0.73,0.86
PgR082_g039,1039.80,-0.27,0.24,-1.15,0.25,0.47
PgR082_g040,460.50,-0.69,0.39,-1.75,0.08,0.24
PgR082_g041,517.05,-0.01,0.27,-0.03,0.98,0.99
PgR082_g042,805.07,0.19,0.18,1.10,0.27,0.49
PgR082_g043,9473.59,-0.24,0.20,-1.16,0.24,0.46
PgR083X_g001,84.86,2.64,0.94,2.80,0.01,0.04
PgR083X_g002,24.58,2.83,0.97,2.92,0.00,0.03
PgR083X_g003,518.82,0.06,0.18,0.33,0.75,0.87
PgR083X_g004,322.26,0.09,0.34,0.27,0.79,0.89
PgR083X_g005,20.00,-0.24,1.03,-0.23,0.82,0.91
PgR083X_g006,54.94,0.21,0.31,0.68,0.50,0.70
PgR083X_g007,956.85,0.42,0.21,1.99,0.05,0.16
PgR083X_g008,3153.34,-0.37,0.19,-1.92,0.05,0.18
PgR083X_g010,561.72,0.62,0.37,1.66,0.10,0.27
PgR083X_g011,3660.93,-0.50,0.20,-2.56,0.01,0.06
PgR083X_g012,1125.55,-0.74,0.31,-2.40,0.02,0.08
PgR083X_g013,10751.68,-0.61,0.23,-2.66,0.01,0.05
PgR083X_g016,23346.73,-0.38,0.20,-1.90,0.06,0.19
PgR083X_g018,388.84,-1.54,1.58,-0.97,0.33,0.56
PgR083X_g019,1891.27,-0.65,0.36,-1.80,0.07,0.22
PgR083X_g021,241.73,-0.12,0.75,-0.16,0.88,0.94
PgR083X_g023,255.26,0.31,0.22,1.42,0.16,0.36
PgR083X_g024,8.48,2.44,1.09,2.25,0.02,0.11
PgR083X_g025,1673.20,-0.38,0.31,-1.23,0.22,0.44
PgR083X_g026,11.12,-1.57,1.87,-0.84,0.40,0.62
PgR083X_g027,1581.22,0.13,0.27,0.47,0.64,0.80
PgR083X_g028,5.05,22.48,1.65,13.64,0.00,0.00
PgR083X_g029,7247.03,0.48,0.32,1.48,0.14,0.33
PgR083X_g030,1757.37,0.07,0.24,0.31,0.75,0.87
PgR083X_g031,34.93,0.18,0.58,0.31,0.75,0.87
PgR083X_g032,59.00,-1.35,1.24,-1.09,0.28,0.50
PgR083X_g033,162.96,1.67,1.60,1.04,0.30,0.52
PgR083X_g034,150.47,-0.30,0.47,-0.64,0.52,0.72
PgR083X_g035,48925.66,-0.17,0.20,-0.87,0.39,0.60
PgR083X_g036,5307.85,-0.35,0.29,-1.18,0.24,0.46
PgR083X_g037,2605.98,-0.15,0.16,-0.95,0.34,0.56
PgR083X_g039,188.22,0.79,0.60,1.31,0.19,0.40
PgR083X_g040,179.69,-0.43,0.61,-0.71,0.48,0.68
PgR083X_g041,1658.45,0.01,0.12,0.11,0.91,0.96
PgR084X_g001,28005.09,-0.48,0.26,-1.84,0.07,0.21
PgR084X_g002,706.18,-0.74,0.28,-2.62,0.01,0.05
PgR084X_g004,595.66,0.48,0.23,2.15,0.03,0.13
PgR084X_g006,35.60,-0.57,1.42,-0.40,0.69,0.83
PgR084X_g007,7.89,-0.73,3.09,-0.24,0.81,0.91
PgR084X_g009,3855.48,-0.66,0.29,-2.25,0.02,0.11
PgR084X_g010,2482.04,0.13,0.25,0.50,0.62,0.79
PgR084X_g011,182.66,3.54,0.91,3.90,0.00,0.00
PgR084X_g012,422.26,1.41,0.83,1.69,0.09,0.25
PgR084X_g013,1405.04,-0.39,0.29,-1.33,0.18,0.39
PgR084X_g014,1549.22,-0.08,0.39,-0.20,0.84,0.92
PgR084X_g015,60.80,1.02,0.50,2.03,0.04,0.15
PgR084X_g016,278.18,0.49,0.26,1.87,0.06,0.20
PgR084X_g017,8334.35,-0.35,0.27,-1.32,0.19,0.40
PgR084X_g018,1652.09,0.28,0.27,1.00,0.32,0.54
PgR084X_g020,1063.30,-0.12,0.26,-0.48,0.63,0.80
PgR084X_g023,819.64,0.11,0.39,0.27,0.79,0.89
PgR084X_g024,2293.15,-0.38,0.23,-1.69,0.09,0.25
PgR084X_g025,4148.91,-0.36,0.27,-1.33,0.18,0.39
PgR084X_g026,4582.27,0.07,0.23,0.32,0.75,0.87
PgR084X_g029,2107.54,0.13,0.34,0.38,0.71,0.84
PgR084X_g030,428.85,0.21,0.25,0.85,0.40,0.61
PgR084X_g031,1002.39,0.41,0.35,1.19,0.23,0.45
PgR084X_g032,6709.76,-0.11,0.14,-0.77,0.44,0.65
PgR084X_g033,2726.24,-1.19,0.35,-3.39,0.00,0.01
PgR084X_g034,9889.72,-0.47,0.31,-1.51,0.13,0.32
PgR084X_g035,2149.34,0.17,0.20,0.88,0.38,0.60
PgR084X_g036,479.47,-0.06,0.15,-0.43,0.67,0.82
PgR084X_g037,1585.30,1.13,0.46,2.46,0.01,0.07
PgR084X_g038,18.43,4.98,1.18,4.22,0.00,0.00
PgR084X_g039,1447.17,0.95,0.97,0.99,0.32,0.55
PgR084X_g040,770.88,0.17,0.16,1.03,0.30,0.53
PgR084X_g041,131.73,0.52,0.37,1.39,0.17,0.37
PgR084X_g042,4057.65,-1.25,0.46,-2.69,0.01,0.05
PgR085_g001,55.84,1.05,1.00,1.04,0.30,0.52
PgR085_g003,1092.89,0.18,0.26,0.67,0.50,0.70
PgR085_g004,30.42,3.50,0.96,3.63,0.00,0.00
PgR085_g005,73.71,1.79,0.63,2.81,0.00,0.04
PgR085_g006,27519.69,1.06,0.44,2.43,0.02,0.08
PgR085_g007,1722.36,-0.03,0.24,-0.13,0.89,0.95
PgR085_g009,82.42,0.17,0.26,0.64,0.52,0.72
PgR085_g010,237.58,-0.06,0.20,-0.32,0.75,0.87
PgR085_g011,1838.82,-0.73,0.17,-4.32,0.00,0.00
PgR085_g012,1210.29,0.54,0.46,1.17,0.24,0.46
PgR085_g013,17.37,-0.29,1.16,-0.25,0.80,0.90
PgR085_g014,128.24,0.07,0.76,0.10,0.92,0.96
PgR085_g017,4.18,2.67,1.80,1.48,0.14,0.33
PgR085_g021,17.72,1.74,1.41,1.24,0.22,0.43
PgR085_g022,15.23,1.01,1.66,0.61,0.54,0.73
PgR085_g023,2804.34,-1.75,0.75,-2.33,0.02,0.09
PgR085_g024,121.73,1.26,1.52,0.83,0.41,0.62
PgR085_g025,5579.88,-0.23,0.42,-0.55,0.58,0.76
PgR085_g026,1849.82,-0.29,0.27,-1.09,0.28,0.50
PgR085_g027,177.76,0.92,1.07,0.86,0.39,0.61
PgR085_g028,91.36,0.82,0.35,2.35,0.02,0.09
PgR085_g029,856.51,-0.09,0.17,-0.53,0.59,0.77
PgR085_g030,82.32,2.55,0.89,2.88,0.00,0.03
PgR085_g031,15211.91,-0.23,0.21,-1.12,0.26,0.49
PgR085_g033,33412.23,0.29,0.51,0.57,0.57,0.75
PgR085_g035,140.80,0.88,0.39,2.28,0.02,0.10
PgR085_g036,15830.18,-1.13,0.81,-1.40,0.16,0.36
PgR085_g037,6346.51,0.09,0.83,0.11,0.91,0.96
PgR085_g038,1973.69,-0.78,0.33,-2.36,0.02,0.09
PgR085_g039,2197.79,-0.08,0.34,-0.22,0.82,0.91
PgR085_g040,10393.35,1.73,0.60,2.90,0.00,0.03
PgR085_g041,25507.47,0.43,0.49,0.89,0.38,0.60
PgR085_g042,8646.73,1.25,0.67,1.86,0.06,0.20
PgR085_g043,17767.17,1.36,0.65,2.09,0.04,0.14
PgR085_g044,308.69,2.57,0.61,4.20,0.00,0.00
PgR085_g045,79035.42,1.36,0.65,2.10,0.04,0.14
PgR085_g047,27749.45,0.56,0.55,1.03,0.30,0.52
PgR085_g048,79818.20,1.46,0.84,1.75,0.08,0.24
PgR085_g049,78706.58,2.23,0.86,2.60,0.01,0.06
PgR085_g050,72.24,-0.83,1.55,-0.53,0.59,0.77
PgR085_g051,3593.51,0.68,0.96,0.71,0.48,0.68
PgR085_g052,314.61,0.78,0.38,2.05,0.04,0.15
PgR085_g054,6.57,-0.30,0.98,-0.30,0.76,0.88
PgR085_g055,197.24,3.59,0.52,6.90,0.00,0.00
PgR085_g056,3762.64,-0.05,0.19,-0.26,0.79,0.90
PgR085_g057,1857.92,-0.27,0.15,-1.79,0.07,0.22
PgR085_g058,502.58,0.40,0.20,1.99,0.05,0.17
PgR085_g059,880.64,0.24,0.17,1.43,0.15,0.35
PgR086X_g001,772.07,-1.25,0.36,-3.42,0.00,0.01
PgR086X_g003,31.93,0.89,0.95,0.94,0.35,0.57
PgR086X_g004,24.24,0.81,1.10,0.74,0.46,0.67
