Gene.stable.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PgB07_g039,5.85,2.82,1.24,2.28,0.02,0.10
PgB07_g040,190.28,-0.01,0.25,-0.03,0.97,0.99
PgB07_g041,664.72,0.02,0.15,0.14,0.89,0.95
PgB07_g042,4183.91,-0.34,0.32,-1.08,0.28,0.50
PgB07_g043,301.08,0.40,0.28,1.44,0.15,0.35
PgB07_g044,352.06,1.22,0.90,1.35,0.18,0.38
PgB07_g045,2.45,1.97,1.77,1.12,0.26,0.49
PgB07_g046,252.82,2.06,0.78,2.65,0.01,0.05
PgB07_g047,257.10,0.09,0.18,0.46,0.64,0.80
PgB07_g048,827.30,-0.07,0.16,-0.44,0.66,0.81
PgB07_g049,453.90,0.25,0.24,1.04,0.30,0.52
